client,cmt,level,like,nn,prov,reply,score,time
4,刚收到货，在办公室通电试了一下试，制热很快，静音，做工用料都不错。,105,1,l***q,广东,3,5,2016-11-23 15:21:51
0,制热效果快，外观美观，使用方便，非常暖和,62,0,lczijie,,7,5,2016-11-24 09:59:45
4,外形可爱，轻巧。货是正品。效果很好，声音小，热得快。发货速度快。给赞?,56,0,j***y,,11,5,2016-11-06 15:56:43
4,个人感觉可以，热的也快也没有很大的所料喂,62,0,幸***呀,,6,5,2016-11-03 10:07:45
4,很小巧，制热很快，声音也不大，很喜欢～\n快递小哥服务态度超好～,105,0,L***W,广东,0,5,2017-02-09 21:20:32
0,制热效果快，外观美观，使用方便，非常暖和,105,1,t***h,上海,0,5,2016-11-23 10:59:58
0,制热效果快外观美观,56,0,逍***A,,0,5,2016-11-25 15:17:36
0,制热效果快外观美观,105,0,o***8,上海,1,5,2016-01-21 13:55:51
2,物流很快，第二次购买这次和上次便宜了10块钱,62,1,j***7,广东,3,5,2016-12-28 20:04:44
2,加热很快的，噪音一般，不算大，很好用值得推荐。,62,0,j***h,贵州,0,5,2016-11-01 21:22:13
4,物流依然是非常给力！货物包装挺满意的，保护到位，开箱后看到产品的设计还是挺好看的，外观优雅。通电简单看了一下，暖风很快就送出来了，至于IPX3级别的防水，还需要观察一下。,61,0,2***r,广东,2,5,2017-01-14 19:45:34
4,不错，美的的东西越来越好了，希望美的越做越好。,62,1,y***s,山西,4,5,2016-10-08 21:04:32
4,质量还不错，用了几个月也没问题，发热也快，浴室刚好能用。要是能再加一个定时装置就完美无缺了，不过总的来说还算满意，赞一下吧！,61,1,亿***光,,2,5,2016-10-30 00:32:06
4,京东真的是最好的购物网站，原来在**上买的尽是假货，京东商城不但质量真，而且服务好，值得信赖！真心希望京东生意兴隆，超过**！！！！！,61,0,做人要厚道谦诚,,0,5,2016-12-24 10:06:18
0,制热快，外观美观，使用方便。,105,0,k***1,上海,0,5,2016-11-29 18:17:11
0,东西不错，外观美观，使用方便。,62,0,c***3,广东,1,5,2016-10-25 00:21:36
4,"头天晚上下单，第二天下午到货，很快，宝贝效果也不错，制热也快，几平方的卧室用都够了！值得购买，开始看的价格是*,前天看的是*所以就立马下手了，感觉物美价廉，希望用起来也省心就对了&hellip;",56,1,j***4,四川,13,5,2016-11-10 20:47:46
